index,target,actual,predicted,abs_error,percent_error
96,Melt(K),1049.0,1048.1326592688497,0.867340731150307,0.08268262451385187
97,Melt(K),1013.0,1011.1843031565843,1.815696843415708,0.17923956993244877
98,Melt(K),939.0,932.2389943492344,6.761005650765583,0.7200219010399974
99,Melt(K),852.0,850.5992891257621,1.400710874237916,0.16440268476970823
100,Melt(K),779.0,772.8704973603992,6.129502639600787,0.7868424441079306
101,Melt(K),890.0,886.3871155220759,3.6128844779241263,0.40594207617124967
102,Melt(K),935.0,933.4966349123432,1.503365087656789,0.16078770990981683
103,Melt(K),1034.0,1030.266461907731,3.7335380922691,0.3610771849389842
104,Melt(K),961.0,954.8512279711182,6.148772028881808,0.6398305961375444
105,Melt(K),904.0,898.3956334881924,5.604366511807598,0.6199520477663265
106,Melt(K),831.0,823.2442170665412,7.755782933458818,0.9333072122092428
107,Melt(K),738.0,731.1463216318493,6.853678368150668,0.9286827057114713
108,Melt(K),644.0,641.5060201471556,2.4939798528444044,0.38726395230503113
109,Melt(K),645.0,656.4555203446268,11.455520344626848,1.776049665833617
110,Melt(K),717.0,716.3161770516964,0.6838229483036002,0.09537279613718261
111,Melt(K),787.0,780.9703642166002,6.02963578339984,0.7661544832782506
112,Melt(K),798.0,798.1351420738443,0.1351420738443494,0.016935096972976092
113,Melt(K),830.0,829.2979050411735,0.7020949588264784,0.08458975407547922
114,Melt(K),828.0,826.9222932240723,1.0777067759277088,0.1301578231796748
115,Melt(K),909.0,905.6809641823052,3.3190358176948394,0.3651304529917311
116,Melt(K),983.0,984.218642018408,1.2186420184079907,0.12397172109949027
117,Melt(K),1019.0,1017.3739354010268,1.6260645989732438,0.15957454356950365
118,Melt(K),1045.0,1043.2412077528784,1.7587922471216189,0.1683054781934562
119,Melt(K),814.0,810.6593448259982,3.3406551740017676,0.41039989852601516
120,Melt(K),804.0,801.0279043490019,2.972095650998085,0.36966363818384096
121,Melt(K),796.0,794.1712440553529,1.8287559446471278,0.2297432091265233
122,Melt(K),788.0,787.1850901837042,0.8149098162957671,0.10341495130656929
123,Melt(K),782.0,779.5199480489359,2.4800519510640697,0.31714219323069903
