System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
ThF4,27,308.0317,Pure Salt,1384,3,Soucek 2017 [130],----,----,----,7.11,0.000759,1393-1651,3,Kirshenbaum 1961 [79],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Th': 0.2, 'F': 0.8}"
UCl3,28,344.3879,Pure Salt,1114,3,Borowitz 1971 [24],2000,----,Knacke 1991 [82],6.27,0.00152,1116-1300,2,Parker 2022 [110],0.478,10900.0,,,,1128-1278,15*,Desyatnik 1975 [167],,,----,----,----,150.0,,,,----,Yingling 2023 [158],"{'U': 0.25, 'Cl': 0.75}"
UCl4,29,379.8409,Pure Salt,861,5,Johnson 1944 [71],1075,----,Johnson 1944 [71],5.63,0.00229,891-968,5,Katyshev 1982 [76],0.00346,50700.0,,,,870-1003,15*,Katyshev 1982 [168],,,----,----,----,,,,,----,----,"{'U': 0.2, 'Cl': 0.8}"
UF3,30,295.0241,Pure Salt,1768.2,20,DEye 1957 [43],2550,----,Glushko 1994 [60],,,----,----,----,,,,,,----,----,----,,,----,----,----,130.0,,,,----,Beilmann 2013 [11],"{'U': 0.25, 'F': 0.75}"
UF4,31,314.0225,Pure Salt,1309,2,Langer 1960 [88],1723,----,Langer 1960 [88],7.78,0.000992,1309-1614,3,Kirshenbaum 1961 [79],,,11.4,-35400.0,27700000.0,1338-1618,10,Kulifeev 1971 [86],,,----,----,----,174.74,,,,----,Capelli 2015 [160],"{'U': 0.2, 'F': 0.8}"
ZrCl4,32,233.036,Pure Salt,710,2,Rahlfs 1933 [115],604,----,Rahlfs 1933 [115],6.94,0.00747,710-765,1,Nisel'son 1962 [104],5.1e-07,80100.0,,,,710-760,2,Nisel'son 1965 [105],,,----,----,----,,,,,----,----,"{'Zr': 0.2, 'Cl': 0.8}"
ZrF4,33,167.2176,Pure Salt,1191,----,Sense 1956 [126],1173,----,Sense 1956 [126],5.36,0.00123,1200-1280,5,Artemov 1990 [5],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Zr': 0.2, 'F': 0.8}"
KCl-AlCl3,34,121.5827,0.20-0.80,452,10,Robelin 2004 [119],----,----,----,2.03,0.001,480-540,1,Morrey 1968 [97],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.05555555555555555, 'Cl': 0.7222222222222222, 'Al': 0.2222222222222222}"
KCl-AlCl3,35,113.7637,0.333-0.667,414,5*,Robelin 2004 [119],----,----,----,1.99,0.00079,500-780,1,Morrey 1968 [97],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.09988002399520095, 'Cl': 0.7000599880023995, 'Al': 0.2000599880023995}"
KCl-AlCl3,36,103.9459,0.50-0.50,531,5*,Robelin 2004 [119],----,----,----,1.96,0.000662,740-1040,1,Morrey 1968 [97],,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'K': 0.16666666666666666, 'Cl': 0.6666666666666666, 'Al': 0.16666666666666666}"
