System,id,Mol Mass,Mol Frac,Melt(K),Var(%),Reference,Boil(K),Var(%) .1,Reference,rho_a,rho_b,range(K),Var(%) .2,Reference,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,range(K)      .1,Var(%) .3,Reference,k_a,k_b,range(K),Var(%) .4,Reference   .1,cp_a,cp_b,cp_c,cp_d,Var(%) .5,Reference,Composition
Co4S3-Cu2S,2052,----,0.3247-0.6753,----,----,----,----,----,----,,,----,----,----,0.4748,20826.63,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.3021308272075928, 'S': 0.3836884712012655, 'Cu': 0.3141807015911417}"
Co4S3-Cu2S,2053,----,0.419-0.581,----,----,----,----,----,----,,,----,----,----,0.4115,21341.69,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.35842600513259193, 'S': 0.39307100085543195, 'Cu': 0.24850299401197604}"
Co4S3-Cu2S,2054,----,0.5275-0.4725,----,----,----,----,----,----,,,----,----,----,0.4209,19686.05,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.41291585127201563, 'S': 0.4021526418786693, 'Cu': 0.18493150684931506}"
Co4S3-Cu2S,2055,----,0.6567-0.3433,----,----,----,----,----,----,,,----,----,----,0.375,21389.8,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.4668372787374706, 'S': 0.4111395464562451, 'Cu': 0.1220231748062842}"
Co4S3-Cu2S,2056,----,0.8114-0.1886,----,----,----,----,----,----,,,----,----,----,0.3927,20240.44,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.5196618419367234, 'S': 0.41994364032278725, 'Cu': 0.0603945177404893}"
Co4S3-Cu2S,2057,----,1.0-0.0,----,----,----,----,----,----,,,----,----,----,0.3949,21254.66,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.5714285714285714, 'S': 0.42857142857142855, 'Cu': 0.0}"
Co4S3-FeS,2058,----,0.0-1.0,----,----,----,----,----,----,,,----,----,----,0.3327,29434.1,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.0, 'S': 0.5, 'Fe': 0.5}"
Co4S3-FeS,2059,----,0.03-0.97,----,----,----,----,----,----,,,----,----,----,0.3385,28248.75,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.05581395348837209, 'S': 0.4930232558139535, 'Fe': 0.4511627906976744}"
Co4S3-FeS,2060,----,0.06-0.94,----,----,----,----,----,----,,,----,----,----,0.3325,27859.21,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.10434782608695653, 'S': 0.4869565217391304, 'Fe': 0.40869565217391307}"
Co4S3-FeS,2061,----,0.1-0.9,----,----,----,----,----,----,,,----,----,----,0.3267,27430.34,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.16, 'S': 0.4800000000000001, 'Fe': 0.36}"
Co4S3-FeS,2062,----,0.15-0.85,----,----,----,----,----,----,,,----,----,----,0.3009,27551.26,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.21818181818181817, 'S': 0.47272727272727266, 'Fe': 0.3090909090909091}"
Co4S3-FeS,2063,----,0.21-0.79,----,----,----,----,----,----,,,----,----,----,0.3341,25231.2,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.2754098360655738, 'S': 0.46557377049180326, 'Fe': 0.259016393442623}"
Co4S3-FeS,2064,----,0.38-0.62,----,----,----,----,----,----,,,----,----,----,0.328,22894.81,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.3897435897435897, 'S': 0.4512820512820513, 'Fe': 0.15897435897435896}"
Co4S3-FeS,2065,----,0.44-0.56,----,----,----,----,----,----,,,----,----,----,0.3553,21232.9,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.41904761904761906, 'S': 0.44761904761904764, 'Fe': 0.13333333333333333}"
Co4S3-FeS,2066,----,0.51-0.49,----,----,----,----,----,----,,,----,----,----,0.3553,21232.9,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.44835164835164837, 'S': 0.443956043956044, 'Fe': 0.1076923076923077}"
Co4S3-FeS,2067,----,0.7-0.3,----,----,----,----,----,----,,,----,----,----,0.3827,20621.19,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.5090909090909091, 'S': 0.43636363636363634, 'Fe': 0.05454545454545455}"
Co4S3-FeS,2068,----,1.0-0.0,----,----,----,----,----,----,,,----,----,----,0.3289,23775.56,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.5714285714285714, 'S': 0.42857142857142855, 'Fe': 0.0}"
Co4S3-Ni3S2,2069,----,0.0-1.0,----,----,----,----,----,----,,,----,----,----,0.3704,28444.14,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.0, 'S': 0.4, 'Ni': 0.6}"
Co4S3-Ni3S2,2070,----,0.074-0.926,----,----,----,----,----,----,,,----,----,----,0.7705,16565.57,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.057498057498057496, 'S': 0.40287490287490285, 'Ni': 0.5396270396270396}"
Co4S3-Ni3S2,2071,----,0.153-0.847,----,----,----,----,----,----,,,----,----,----,1.06,10761.01,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.11534112325669053, 'S': 0.40576705616283454, 'Ni': 0.4788918205804749}"
Co4S3-Ni3S2,2072,----,0.236-0.764,----,----,----,----,----,----,,,----,----,----,1.163,8361.45,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.17251461988304095, 'S': 0.40862573099415206, 'Ni': 0.41885964912280704}"
Co4S3-Ni3S2,2073,----,0.326-0.674,----,----,----,----,----,----,,,----,----,----,1.015,9080.27,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.23071479122434538, 'S': 0.41153573956121725, 'Ni': 0.3577494692144374}"
Co4S3-Ni3S2,2074,----,0.421-0.579,----,----,----,----,----,----,,,----,----,----,1.06,7386.98,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.28825744608010956, 'S': 0.4144128723040055, 'Ni': 0.29732968161588497}"
Co4S3-Ni3S2,2075,----,0.522-0.478,----,----,----,----,----,----,,,----,----,----,0.8648,9069.81,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.34546657842488415, 'S': 0.4172733289212442, 'Ni': 0.23726009265387157}"
Co4S3-Ni3S2,2076,----,0.628-0.372,----,----,----,----,----,----,,,----,----,----,0.752,10179.42,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.4015345268542199, 'S': 0.420076726342711, 'Ni': 0.17838874680306907}"
Co4S3-Ni3S2,2077,----,0.744-0.256,----,----,----,----,----,----,,,----,----,----,0.8393,8561.03,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.45869297163995065, 'S': 0.42293464858199753, 'Ni': 0.11837237977805178}"
Co4S3-Ni3S2,2078,----,0.866-0.134,----,----,----,----,----,----,,,----,----,----,0.8829,8297.43,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.5145573380867499, 'S': 0.4257278669043375, 'Ni': 0.05971479500891266}"
Co4S3-Ni3S2,2079,----,1.0-0.0,----,----,----,----,----,----,,,----,----,----,0.3289,23775.56,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 0.5714285714285714, 'S': 0.42857142857142855, 'Ni': 0.0}"
CoBr2-KNO3,2080,----,0.00003-0.99997,----,----,----,----,----,----,2.3284,0.0007502,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 6.000072000864011e-06, 'Br': 1.2000144001728023e-05, 'K': 0.1999963999567995, 'N': 0.1999963999567995, 'O': 0.5999891998703984}"
CoBr2-KNO3,2081,----,0.00005-0.99995,----,----,----,----,----,----,2.3284,0.0007502,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 1.000020000400008e-05, 'Br': 2.000040000800016e-05, 'K': 0.19999399987999758, 'N': 0.19999399987999758, 'O': 0.5999819996399928}"
CoBr2-KNO3,2082,----,0.00014-0.99986,----,----,----,----,----,----,2.3294,0.0007502,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 2.8001568087812914e-05, 'Br': 5.600313617562583e-05, 'K': 0.1999831990591473, 'N': 0.1999831990591473, 'O': 0.5999495971774419}"
CoBr2-KNO3,2083,----,0.00027-0.99973,----,----,----,----,----,----,2.3311,0.0007502,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Co': 5.4005832629924035e-05, 'Br': 0.00010801166525984807, 'K': 0.19996759650042203, 'N': 0.19996759650042203, 'O': 0.5999027895012662}"
Cr2O3,2084,----,Pure Salt,----,----,----,----,----,----,3.9,,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cr': 0.4, 'O': 0.6}"
Cs2CO3,2085,----,Pure Salt,----,----,----,----,----,----,4.037,0.0005614,----,----,----,0.11478,29468.41,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3333333333333333, 'C': 0.16666666666666666, 'O': 0.5}"
Cs2SO4,2086,----,Pure Salt,----,----,----,----,----,----,4.3,0.0009515,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.2857142857142857, 'S': 0.14285714285714285, 'O': 0.5714285714285714}"
Cs3AlF6,2087,----,Pure Salt,----,----,----,----,----,----,4.7792,0.0015342,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3, 'Al': 0.1, 'F': 0.6}"
Cs3AlF6-K3AlF6,2088,----,0.1-0.9,----,----,----,----,----,----,3.3613,0.0011,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.030000000000000006, 'Al': 0.1, 'F': 0.6, 'K': 0.27}"
Cs3AlF6-K3AlF6,2089,----,0.2-0.8,----,----,----,----,----,----,3.209,0.000919,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.06, 'Al': 0.09999999999999998, 'F': 0.6, 'K': 0.24}"
Cs3AlF6-K3AlF6,2090,----,0.3-0.7,----,----,----,----,----,----,3.7117,0.00118,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.09000000000000001, 'Al': 0.10000000000000002, 'F': 0.6, 'K': 0.21}"
Cs3AlF6-K3AlF6,2091,----,0.4-0.6,----,----,----,----,----,----,3.8498,0.00124,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.12000000000000002, 'Al': 0.1, 'F': 0.6, 'K': 0.18}"
Cs3AlF6-K3AlF6,2092,----,0.5-0.5,----,----,----,----,----,----,4.0966,0.001339,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.15, 'Al': 0.1, 'F': 0.6, 'K': 0.15}"
Cs3AlF6-K3AlF6,2093,----,0.6-0.4,----,----,----,----,----,----,4.2196,0.0014,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.18, 'Al': 0.1, 'F': 0.6, 'K': 0.12000000000000002}"
Cs3AlF6-K3AlF6,2094,----,0.7-0.3,----,----,----,----,----,----,4.6503,0.00166,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.21, 'Al': 0.10000000000000002, 'F': 0.6, 'K': 0.09000000000000001}"
Cs3AlF6-K3AlF6,2095,----,0.8-0.2,----,----,----,----,----,----,4.5833,0.00152,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.24, 'Al': 0.09999999999999998, 'F': 0.6, 'K': 0.06}"
Cs3AlF6-K3AlF6,2096,----,0.9-0.1,----,----,----,----,----,----,4.8453,0.00166,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.27, 'Al': 0.1, 'F': 0.6, 'K': 0.030000000000000006}"
Cs3AlF6-K3AlF6,2097,----,1.0-0.0,----,----,----,----,----,----,4.7792,0.0015342,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3, 'Al': 0.1, 'F': 0.6, 'K': 0.0}"
Cs3AlF6-Li3AlF6,2098,----,0.0-1.0,----,----,----,----,----,----,3.251,0.001034,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Al': 0.1, 'F': 0.6, 'Li': 0.3}"
Cs3AlF6-Li3AlF6,2099,----,0.1-0.9,----,----,----,----,----,----,3.7773,0.00134,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.030000000000000006, 'Al': 0.1, 'F': 0.6, 'Li': 0.27}"
Cs3AlF6-Li3AlF6,2100,----,0.2-0.8,----,----,----,----,----,----,3.6526,0.001114,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.06, 'Al': 0.09999999999999998, 'F': 0.6, 'Li': 0.24}"
Cs3AlF6-Li3AlF6,2101,----,0.3-0.7,----,----,----,----,----,----,3.6195,0.001006,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.09000000000000001, 'Al': 0.10000000000000002, 'F': 0.6, 'Li': 0.21}"
Cs3AlF6-Li3AlF6,2102,----,0.4-0.6,----,----,----,----,----,----,3.85,0.001146,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.12000000000000002, 'Al': 0.1, 'F': 0.6, 'Li': 0.18}"
Cs3AlF6-Li3AlF6,2103,----,0.5-0.5,----,----,----,----,----,----,3.9999,0.0012,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.15, 'Al': 0.1, 'F': 0.6, 'Li': 0.15}"
Cs3AlF6-Li3AlF6,2104,----,0.6-0.4,----,----,----,----,----,----,4.0109,0.001136,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.18, 'Al': 0.1, 'F': 0.6, 'Li': 0.12000000000000002}"
Cs3AlF6-Li3AlF6,2105,----,0.7-0.3,----,----,----,----,----,----,4.2555,0.001276,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.21, 'Al': 0.10000000000000002, 'F': 0.6, 'Li': 0.09000000000000001}"
Cs3AlF6-Li3AlF6,2106,----,0.8-0.2,----,----,----,----,----,----,4.2797,0.00122,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.24, 'Al': 0.09999999999999998, 'F': 0.6, 'Li': 0.06}"
Cs3AlF6-Li3AlF6,2107,----,0.9-0.1,----,----,----,----,----,----,4.2214,0.001096,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.27, 'Al': 0.1, 'F': 0.6, 'Li': 0.030000000000000006}"
Cs3AlF6-Li3AlF6,2108,----,1.0-0.0,----,----,----,----,----,----,4.7792,0.0015342,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3, 'Al': 0.1, 'F': 0.6, 'Li': 0.0}"
Cs3AlF6-Na3AlF6,2109,----,0.2-0.8,----,----,----,----,----,----,3.731,0.0011398,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.06, 'Al': 0.09999999999999998, 'F': 0.6, 'Na': 0.24}"
Cs3AlF6-Na3AlF6,2110,----,0.3-0.7,----,----,----,----,----,----,3.555,0.0009599,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.09000000000000001, 'Al': 0.10000000000000002, 'F': 0.6, 'Na': 0.21}"
Cs3AlF6-Na3AlF6,2111,----,0.4-0.6,----,----,----,----,----,----,4.2059,0.0013802,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.12000000000000002, 'Al': 0.1, 'F': 0.6, 'Na': 0.18}"
Cs3AlF6-Na3AlF6,2112,----,0.5-0.5,----,----,----,----,----,----,4.3246,0.0014181,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.15, 'Al': 0.1, 'F': 0.6, 'Na': 0.15}"
Cs3AlF6-Na3AlF6,2113,----,0.6-0.4,----,----,----,----,----,----,4.4236,0.0014381,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.18, 'Al': 0.1, 'F': 0.6, 'Na': 0.12000000000000002}"
Cs3AlF6-Na3AlF6,2114,----,0.7-0.3,----,----,----,----,----,----,4.4832,0.0014401,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.21, 'Al': 0.10000000000000002, 'F': 0.6, 'Na': 0.09000000000000001}"
Cs3AlF6-Na3AlF6,2115,----,0.8-0.2,----,----,----,----,----,----,4.5882,0.0014801,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.24, 'Al': 0.09999999999999998, 'F': 0.6, 'Na': 0.06}"
Cs3AlF6-Na3AlF6,2116,----,0.9-0.1,----,----,----,----,----,----,4.9399,0.0017221,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.27, 'Al': 0.1, 'F': 0.6, 'Na': 0.030000000000000006}"
Cs3AlF6-Na3AlF6,2117,----,1.0-0.0,----,----,----,----,----,----,4.7792,0.0015342,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.3, 'Al': 0.1, 'F': 0.6, 'Na': 0.0}"
CsBF4,2118,----,Pure Salt,----,----,----,----,----,----,3.477,0.00119,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.16666666666666666, 'B': 0.16666666666666666, 'F': 0.6666666666666666}"
CsBr,2119,----,Pure Salt,----,----,----,----,----,----,4.2449,0.0012234,----,----,----,0.0847,22920.34,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.5}"
CsBr-CsCl,2120,----,0.0-1.0,----,----,----,----,----,----,3.7987,0.0010849,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.0, 'Cl': 0.5}"
CsBr-CsCl,2121,----,0.25-0.75,----,----,----,----,----,----,3.9488,0.0011506,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.125, 'Cl': 0.375}"
CsBr-CsCl,2122,----,0.5-0.5,----,----,----,----,----,----,4.0482,0.0011692,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.25, 'Cl': 0.25}"
CsBr-CsCl,2123,----,0.75-0.25,----,----,----,----,----,----,4.1283,0.0011755,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.375, 'Cl': 0.125}"
CsBr-CsCl,2124,----,1.0-0.0,----,----,----,----,----,----,4.2236,0.0011952,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.5, 'Cl': 0.0}"
CsBr-CsF,2125,----,0.0-1.0,----,----,----,----,----,----,4.8135,0.0012105,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.0, 'F': 0.5}"
CsBr-CsF,2126,----,0.12-0.88,----,----,----,----,----,----,4.8084,0.0013137,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.06, 'F': 0.44}"
CsBr-CsF,2127,----,0.25-0.75,----,----,----,----,----,----,4.6676,0.0012885,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.125, 'F': 0.375}"
CsBr-CsF,2128,----,0.37-0.63,----,----,----,----,----,----,4.5614,0.0012711,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.185, 'F': 0.315}"
CsBr-CsF,2129,----,0.5-0.5,----,----,----,----,----,----,4.4914,0.0012749,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.25, 'F': 0.25}"
CsBr-CsF,2130,----,0.63-0.37,----,----,----,----,----,----,4.4032,0.0012488,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.315, 'F': 0.185}"
CsBr-CsF,2131,----,0.75-0.25,----,----,----,----,----,----,4.3567,0.0012476,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.375, 'F': 0.125}"
CsBr-CsF,2132,----,0.88-0.12,----,----,----,----,----,----,4.3178,0.0012517,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.44, 'F': 0.06}"
CsBr-CsF,2133,----,1.0-0.0,----,----,----,----,----,----,4.2716,0.0012468,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.5, 'F': 0.0}"
CsBr-CsI,2134,----,0.0-1.0,----,----,----,----,----,----,4.3345,0.0012568,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.0, 'I': 0.5}"
CsBr-CsI,2135,----,0.25-0.75,----,----,----,----,----,----,4.313,0.0012501,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.125, 'I': 0.375}"
CsBr-CsI,2136,----,0.5-0.5,----,----,----,----,----,----,4.2817,0.0012303,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.25, 'I': 0.25}"
CsBr-CsI,2137,----,0.75-0.25,----,----,----,----,----,----,4.2811,0.0012334,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.375, 'I': 0.125}"
CsBr-CsI,2138,----,1.0-0.0,----,----,----,----,----,----,4.2236,0.0011952,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Br': 0.5, 'I': 0.0}"
CsBr-KBr,2139,----,0.5-0.5,----,----,----,----,----,----,3.624,0.001009,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Br': 0.5, 'K': 0.25}"
CsBr-KCl,2140,----,0.5-0.5,----,----,----,----,----,----,3.3597,0.0009408,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.25, 'Br': 0.25, 'K': 0.25, 'Cl': 0.25}"
CsC2H3O2,2141,----,Pure Salt,----,----,----,----,----,----,2.843,0.0009,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.125, 'C': 0.25, 'H': 0.375, 'O': 0.25}"
CsC2H3O2-NaC2H3O2,2142,----,0.0-1.0,----,----,----,----,----,----,1.688,0.000702,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'C': 0.25, 'H': 0.375, 'O': 0.25, 'Na': 0.125}"
CsC2H3O2-NaC2H3O2,2143,----,0.25-0.75,----,----,----,----,----,----,1.872,0.0005,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.03125, 'C': 0.25, 'H': 0.375, 'O': 0.25, 'Na': 0.09375}"
CsC2H3O2-NaC2H3O2,2144,----,0.5-0.5,----,----,----,----,----,----,2.207,0.0006,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0625, 'C': 0.25, 'H': 0.375, 'O': 0.25, 'Na': 0.0625}"
CsC2H3O2-NaC2H3O2,2145,----,0.8-0.2,----,----,----,----,----,----,2.519,0.00065,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.1, 'C': 0.25, 'H': 0.37500000000000006, 'O': 0.25, 'Na': 0.025}"
CsC2H3O2-NaC2H3O2,2146,----,1.0-0.0,----,----,----,----,----,----,2.843,0.0009,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.125, 'C': 0.25, 'H': 0.375, 'O': 0.25, 'Na': 0.0}"
CsCl,2147,----,Pure Salt,----,----,----,----,----,----,3.7692,0.001065,----,----,----,0.07148,23619.41,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5}"
CsCl-CsF,2148,----,0.0-1.0,----,----,----,----,----,----,4.8135,0.0012105,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.0, 'F': 0.5}"
CsCl-CsF,2149,----,0.12-0.88,----,----,----,----,----,----,4.7942,0.0013456,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.06, 'F': 0.44}"
CsCl-CsF,2150,----,0.25-0.75,----,----,----,----,----,----,4.6394,0.0013283,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.125, 'F': 0.375}"
CsCl-CsF,2151,----,0.37-0.63,----,----,----,----,----,----,4.3801,0.0012054,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.185, 'F': 0.315}"
CsCl-CsF,2152,----,0.5-0.5,----,----,----,----,----,----,4.2382,0.0011803,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.25, 'F': 0.25}"
CsCl-CsF,2153,----,0.63-0.37,----,----,----,----,----,----,4.1302,0.0011778,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.315, 'F': 0.185}"
CsCl-CsF,2154,----,0.75-0.25,----,----,----,----,----,----,3.9361,0.001077,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.375, 'F': 0.125}"
CsCl-CsF,2155,----,0.88-0.12,----,----,----,----,----,----,3.8766,0.0010959,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.44, 'F': 0.06}"
CsCl-CsF,2156,----,1.0-0.0,----,----,----,----,----,----,3.7693,0.0010536,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'F': 0.0}"
CsCl-CsI,2157,----,0.0-1.0,----,----,----,----,----,----,4.3345,0.0012568,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.0, 'I': 0.5}"
CsCl-CsI,2158,----,0.25-0.75,----,----,----,----,----,----,4.2279,0.0012283,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.125, 'I': 0.375}"
CsCl-CsI,2159,----,0.5-0.5,----,----,----,----,----,----,4.1068,0.0011823,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.25, 'I': 0.25}"
CsCl-CsI,2160,----,0.75-0.25,----,----,----,----,----,----,3.9872,0.001167,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.375, 'I': 0.125}"
CsCl-CsI,2161,----,1.0-0.0,----,----,----,----,----,----,3.7987,0.0010849,----,----,----,,,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.5, 'Cl': 0.5, 'I': 0.0}"
CsCl-KCl,2162,----,0.0-1.0,----,----,----,----,----,----,2.1089,0.0005583,----,----,----,0.054,26878.47,,,,----,----,----,,,----,----,----,,,,,----,----,"{'Cs': 0.0, 'Cl': 0.5, 'K': 0.5}"
