System,Mol Mass,Mol Frac,Melt(K),Boil(K),rho_a,rho_b,mu1_a,mu1_b,mu2_a,mu2_b,mu2_c,k_a,k_b,cp_a,cp_b,Composition,polarizability_element[10-24Cm3],atomic_mass_element,electronegativity_element,ionic_charge_element,atomic_radius_element[Angstrom],ionic_radius_element[Angstrom],covalent_radius_element[Angstrom],first_ionization_energy[kJ_per_mol],symbol,atomic_radius_components[Angstrom],ionic_polarizability_sum_components,ionic_polarizability_mean_components
BaCl2-PbCl2,NaN,0.197-0.803,,,5.728,0.00136,,,,,,,,,,"{'Ba': 0.06566666666666666, 'Cl': 0.6666666666666666, 'Pb': 0.26766666666666666}","{'Ba': 39.7, 'Cl': 2.18, 'Pb': 3.7}","{'Ba': 137.327, 'Cl': 35.453, 'Pb': 207.2}","{'Ba': 0.89, 'Cl': 3.16, 'Pb': 2.33}","{'Ba': '2+', 'Cl': '1-', 'Pb': '2+, 4+'}","{'Ba': 2.53, 'Cl': 0.79, 'Pb': 1.54}","{'Ba': 2.15, 'Cl': 1.0, 'Pb': 1.8}","{'Ba': 1.98, 'Cl': 0.99, 'Pb': 1.47}","{'Ba': 502.9, 'Cl': 1251.2, 'Pb': 715.6}","{'Ba': 'Ba', 'Cl': 'Cl', 'Pb': 'Pb'}",7.2299999999999995,50.55333717300833,8.425556195501388
BaCl2-PbCl2,NaN,0.306-0.694,,,5.503,0.00127,,,,,,,,,,"{'Ba': 0.102, 'Cl': 0.6666666666666666, 'Pb': 0.2313333333333333}","{'Ba': 39.7, 'Cl': 2.18, 'Pb': 3.7}","{'Ba': 137.327, 'Cl': 35.453, 'Pb': 207.2}","{'Ba': 0.89, 'Cl': 3.16, 'Pb': 2.33}","{'Ba': '2+', 'Cl': '1-', 'Pb': '2+, 4+'}","{'Ba': 2.53, 'Cl': 0.79, 'Pb': 1.54}","{'Ba': 2.15, 'Cl': 1.0, 'Pb': 1.8}","{'Ba': 1.98, 'Cl': 0.99, 'Pb': 1.47}","{'Ba': 502.9, 'Cl': 1251.2, 'Pb': 715.6}","{'Ba': 'Ba', 'Cl': 'Cl', 'Pb': 'Pb'}",7.2299999999999995,50.55333717300833,8.425556195501388
BaCl2-ZnCl2,NaN,0.5-0.5,,,3.6008,0.000656,,,,,,,,,,"{'Ba': 0.16666666666666666, 'Cl': 0.6666666666666666, 'Zn': 0.16666666666666666}","{'Ba': 39.7, 'Cl': 2.18, 'Zn': 7.08}","{'Ba': 137.327, 'Cl': 35.453, 'Zn': 65.38}","{'Ba': 0.89, 'Cl': 3.16, 'Zn': 1.65}","{'Ba': '2+', 'Cl': '1-', 'Zn': '2+'}","{'Ba': 2.53, 'Cl': 0.79, 'Zn': 1.42}","{'Ba': 2.15, 'Cl': 1.0, 'Zn': 1.35}","{'Ba': 1.98, 'Cl': 0.99, 'Zn': 1.31}","{'Ba': 502.9, 'Cl': 1251.2, 'Zn': 906.4}","{'Ba': 'Ba', 'Cl': 'Cl', 'Zn': 'Zn'}",7.109999999999999,53.07599342300833,8.84599890383472
BaF2,NaN,Pure Salt,,,5.775,0.000999,,,,,,,,,,"{'Ba': 0.3333333333333333, 'F': 0.6666666666666666}","{'Ba': 39.7, 'F': 0.557}","{'Ba': 137.327, 'F': 18.998}","{'Ba': 0.89, 'F': 3.98}","{'Ba': '2+', 'F': '1-'}","{'Ba': 2.53, 'F': 0.42}","{'Ba': 2.15, 'F': 0.5}","{'Ba': 1.98, 'F': 0.71}","{'Ba': 502.9, 'F': 1681.0}","{'Ba': 'Ba', 'F': 'F'}",3.3699999999999997,38.41918092300833,12.806393641002776
BaF2-KF,NaN,0.0-1.0,,,3.063,0.0009301,,,,,,,,,,"{'Ba': 0.0, 'F': 0.5, 'K': 0.5}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-KF,NaN,0.1-0.9,,,3.825,0.00119,,,,,,,,,,"{'Ba': 0.047619047619047616, 'F': 0.5238095238095238, 'K': 0.42857142857142855}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-KF,NaN,0.2-0.8,,,4.21,0.00122,,,,,,,,,,"{'Ba': 0.09090909090909091, 'F': 0.5454545454545455, 'K': 0.36363636363636365}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-KF,NaN,0.3-0.7,,,4.264,0.00105,,,,,,,,,,"{'Ba': 0.13043478260869565, 'F': 0.5652173913043478, 'K': 0.30434782608695654}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-KF,NaN,0.4-0.6,,,4.117,0.0007699,,,,,,,,,,"{'Ba': 0.16666666666666669, 'F': 0.5833333333333334, 'K': 0.25}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-KF,NaN,0.5-0.5,,,4.08,0.00059,,,,,,,,,,"{'Ba': 0.2, 'F': 0.6, 'K': 0.2}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-KF,NaN,0.6-0.4,,,4.579,0.0008,,,,,,,,,,"{'Ba': 0.23076923076923075, 'F': 0.6153846153846154, 'K': 0.15384615384615385}","{'Ba': 39.7, 'F': 0.557, 'K': 43.4}","{'Ba': 137.327, 'F': 18.998, 'K': 39.098}","{'Ba': 0.89, 'F': 3.98, 'K': 0.82}","{'Ba': '2+', 'F': '1-', 'K': '1+'}","{'Ba': 2.53, 'F': 0.42, 'K': 2.43}","{'Ba': 2.15, 'F': 0.5, 'K': 2.2}","{'Ba': 1.98, 'F': 0.71, 'K': 1.96}","{'Ba': 502.9, 'F': 1681.0, 'K': 418.8}","{'Ba': 'Ba', 'F': 'F', 'K': 'K'}",6.220000000000001,78.29263404800832,15.658526809601664
BaF2-Na3AlF6,NaN,0.0-1.0,,,3.3191,0.0009513,,,,,,,,,,"{'Ba': 0.0, 'F': 0.6, 'Na': 0.3, 'Al': 0.1}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6, 'Al': 8.34}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99, 'Al': 26.982}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93, 'Al': 1.61}","{'Ba': '2+', 'F': '1-', 'Na': '1+', 'Al': '3+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9, 'Al': 1.18}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8, 'Al': 1.25}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54, 'Al': 1.18}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8, 'Al': 577.5}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na', 'Al': 'Al'}",12.77,107.64626946467499,8.280482266513461
BaF2-Na3AlF6,NaN,0.129-0.871,,,3.6575,0.0008376,,,,,,,,,,"{'Ba': 0.014180499065626032, 'F': 0.6028360998131252, 'Na': 0.2872375508409366, 'Al': 0.0957458502803122}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6, 'Al': 8.34}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99, 'Al': 26.982}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93, 'Al': 1.61}","{'Ba': '2+', 'F': '1-', 'Na': '1+', 'Al': '3+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9, 'Al': 1.18}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8, 'Al': 1.25}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54, 'Al': 1.18}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8, 'Al': 577.5}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na', 'Al': 'Al'}",12.77,107.64626946467499,8.280482266513461
BaF2-Na3AlF6,NaN,0.271-0.729,,,4.2048,0.0009752,,,,,,,,,,"{'Ba': 0.033444403307417006, 'F': 0.6066888806614834, 'Na': 0.26990003702332466, 'Al': 0.0899666790077749}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6, 'Al': 8.34}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99, 'Al': 26.982}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93, 'Al': 1.61}","{'Ba': '2+', 'F': '1-', 'Na': '1+', 'Al': '3+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9, 'Al': 1.18}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8, 'Al': 1.25}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54, 'Al': 1.18}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8, 'Al': 577.5}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na', 'Al': 'Al'}",12.77,107.64626946467499,8.280482266513461
BaF2-Na3AlF6,NaN,0.428-0.572,,,3.9704,0.0004798,,,,,,,,,,"{'Ba': 0.06110793832095946, 'F': 0.6122215876641919, 'Na': 0.2450028555111365, 'Al': 0.08166761850371217}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6, 'Al': 8.34}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99, 'Al': 26.982}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93, 'Al': 1.61}","{'Ba': '2+', 'F': '1-', 'Na': '1+', 'Al': '3+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9, 'Al': 1.18}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8, 'Al': 1.25}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54, 'Al': 1.18}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8, 'Al': 577.5}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na', 'Al': 'Al'}",12.77,107.64626946467499,8.280482266513461
BaF2-NaF,NaN,0.0-1.0,,,2.7571,0.00062513,,,,,,,,,,"{'Ba': 0.0, 'F': 0.5, 'Na': 0.5}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93}","{'Ba': '2+', 'F': '1-', 'Na': '1+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na'}",5.6899999999999995,58.954689603563885,11.790937920712777
BaF2-NaF,NaN,0.165-0.835,,,3.3934,0.000576,,,,,,,,,,"{'Ba': 0.07621247113163973, 'F': 0.5381062355658198, 'Na': 0.3856812933025404}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93}","{'Ba': '2+', 'F': '1-', 'Na': '1+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na'}",5.6899999999999995,58.954689603563885,11.790937920712777
BaF2-NaF,NaN,0.332-0.668,,,3.9022,0.00059959,,,,,,,,,,"{'Ba': 0.14236706689536877, 'F': 0.5711835334476844, 'Na': 0.2864493996569468}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93}","{'Ba': '2+', 'F': '1-', 'Na': '1+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na'}",5.6899999999999995,58.954689603563885,11.790937920712777
BaF2-NaF,NaN,0.5-0.5,,,4.3643,0.00062311,,,,,,,,,,"{'Ba': 0.2, 'F': 0.6, 'Na': 0.2}","{'Ba': 39.7, 'F': 0.557, 'Na': 23.6}","{'Ba': 137.327, 'F': 18.998, 'Na': 22.99}","{'Ba': 0.89, 'F': 3.98, 'Na': 0.93}","{'Ba': '2+', 'F': '1-', 'Na': '1+'}","{'Ba': 2.53, 'F': 0.42, 'Na': 1.9}","{'Ba': 2.15, 'F': 0.5, 'Na': 1.8}","{'Ba': 1.98, 'F': 0.71, 'Na': 1.54}","{'Ba': 502.9, 'F': 1681.0, 'Na': 495.8}","{'Ba': 'Ba', 'F': 'F', 'Na': 'Na'}",5.6899999999999995,58.954689603563885,11.790937920712777
BaI2,NaN,Pure Salt,,,5.222,0.000977,,,,,,,,,,"{'Ba': 0.3333333333333333, 'I': 0.6666666666666666}","{'Ba': 39.7, 'I': 3.9}","{'Ba': 137.327, 'I': 126.904}","{'Ba': 0.89, 'I': 2.66}","{'Ba': '2+', 'I': '1-'}","{'Ba': 2.53, 'I': 1.15}","{'Ba': 2.15, 'I': 1.4}","{'Ba': 1.98, 'I': 1.33}","{'Ba': 502.9, 'I': 1008.4}","{'Ba': 'Ba', 'I': 'I'}",4.83,45.112159288392945,15.037386429464314
BaO-CaF2,NaN,0.1865-0.8135,,,2.66,,,,,,,,,,,"{'Ba': 0.06628754220721521, 'O': 0.06628754220721521, 'Ca': 0.2891416385285232, 'F': 0.5782832770570464}","{'Ba': 39.7, 'O': 0.802, 'Ca': 25.0, 'F': 0.557}","{'Ba': 137.327, 'O': 15.999, 'Ca': 40.078, 'F': 18.998}","{'Ba': 0.89, 'O': 3.44, 'Ca': 1.0, 'F': 3.98}","{'Ba': '2+', 'O': '2-', 'Ca': '2+', 'F': '1-'}","{'Ba': 2.53, 'O': 0.48, 'Ca': 1.94, 'F': 0.42}","{'Ba': 2.15, 'O': 0.6, 'Ca': 1.8, 'F': 0.5}","{'Ba': 1.98, 'O': 0.73, 'Ca': 1.74, 'F': 0.71}","{'Ba': 502.9, 'O': 1313.9, 'Ca': 589.8, 'F': 1681.0}","{'Ba': 'Ba', 'O': 'O', 'Ca': 'Ca', 'F': 'F'}",5.789999999999999,60.506115725579484,12.101223145115897
BeCl2,NaN,Pure Salt,,,2.276,0.0011,,,,,,,,,,"{'Be': 0.3333333333333333, 'Cl': 0.6666666666666666}","{'Be': 5.6, 'Cl': 2.18}","{'Be': 9.012, 'Cl': 35.453}","{'Be': 1.57, 'Cl': 3.16}","{'Be': '2+', 'Cl': '1-'}","{'Be': 1.12, 'Cl': 0.79}","{'Be': 1.05, 'Cl': 1.0}","{'Be': 0.9, 'Cl': 0.99}","{'Be': 899.5, 'Cl': 1251.2}","{'Be': 'Be', 'Cl': 'Cl'}",2.7,7.410920138888889,2.470306712962963
BeCl2-KCl,NaN,0.204-0.796,,,2.122,0.00059,,,,,,,,,,"{'Be': 0.09255898366606169, 'Cl': 0.5462794918330308, 'K': 0.36116152450090744}","{'Be': 5.6, 'Cl': 2.18, 'K': 43.4}","{'Be': 9.012, 'Cl': 35.453, 'K': 39.098}","{'Be': 1.57, 'Cl': 3.16, 'K': 0.82}","{'Be': '2+', 'Cl': '1-', 'K': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'K': 2.43}","{'Be': 1.05, 'Cl': 1.0, 'K': 2.2}","{'Be': 0.9, 'Cl': 0.99, 'K': 1.96}","{'Be': 899.5, 'Cl': 1251.2, 'K': 418.8}","{'Be': 'Be', 'Cl': 'Cl', 'K': 'K'}",5.92,49.04043576388889,9.808087152777777
BeCl2-KCl,NaN,0.33-0.67,,,2.068,0.0006,,,,,,,,,,"{'Be': 0.14163090128755365, 'Cl': 0.5708154506437768, 'K': 0.2875536480686695}","{'Be': 5.6, 'Cl': 2.18, 'K': 43.4}","{'Be': 9.012, 'Cl': 35.453, 'K': 39.098}","{'Be': 1.57, 'Cl': 3.16, 'K': 0.82}","{'Be': '2+', 'Cl': '1-', 'K': '1+'}","{'Be': 1.12, 'Cl': 0.79, 'K': 2.43}","{'Be': 1.05, 'Cl': 1.0, 'K': 2.2}","{'Be': 0.9, 'Cl': 0.99, 'K': 1.96}","{'Be': 899.5, 'Cl': 1251.2, 'K': 418.8}","{'Be': 'Be', 'Cl': 'Cl', 'K': 'K'}",5.92,49.04043576388889,9.808087152777777
