System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
NaCl-MgCl2,217,85.7983,0.256-0.744,913,5*,Chartrand 2001 [35],----,----,----,2.14,0.000434,1050-1120,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,218,84.1805,0.30-0.70,892,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.119,21900,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,219,81.3494,0.377-0.623,850,5*,Chartrand 2001 [35],----,----,----,2.2,0.000514,1030-1120,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,220,80.5037,0.40-0.60,834,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.103,22200,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,221,77.3784,0.485-0.515,770,5*,Chartrand 2001 [35],----,----,----,2.2,0.000527,1040-1120,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,222,76.8269,0.50-0.50,755,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.0864,22500,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,223,73.8119,0.582-0.418,736,5*,Chartrand 2001 [35],----,----,----,2.13,0.000474,1030-1100,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,224,73.1501,0.60-0.40,741,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.0828,21700,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,225,70.8337,0.663-0.337,797,5*,Chartrand 2001 [35],----,----,----,2.12E+00,4.82E-04,1050-1110,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,226,69.4732,0.70-0.30,849,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.01E-01,2.12E+04,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,227,69.0688,0.711-0.289,865,5*,Chartrand 2001 [35],----,----,----,2.04E+00,4.19E-04,1040-1100,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,228,67.1201,0.764-0.236,928,5*,Chartrand 2001 [35],----,----,----,2.05E+00,4.29E-04,1050-1090,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,229,65.7964,0.80-0.20,962,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,0.136,19300,----,----,----,973-1073,15,Bondarenko 1965 [20],----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,230,62.4873,0.89-0.11,1026,5*,Chartrand 2001 [35],----,----,----,2.14E+00,5.31E-04,1080-1120,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-MgCl2,231,60.2812,0.95-0.05,1055,5*,Chartrand 2001 [35],----,----,----,2.14E+00,5.39E-04,1030-1120,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-PuCl3,232,163.5326,0.64-0.36,723,5,Karlsson 2022 [73],----,----,----,4.12E+00,9.53E-04,823-1073,1.5,Karlsson 2022 [73],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-PuCl3,233,131.4218,0.75-0.25,872,5,Karlsson 2022 [73],----,----,----,3.63E+00,8.46E-04,923-1073,1.5,Karlsson 2022 [73],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,234,304.4605,0.22-0.78,935,5*,Oyamada 1971 [109],----,----,----,4.29E+00,1.07E-03,960-1120,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,235,247.6872,0.40-0.60,812,5*,Oyamada 1971 [109],----,----,----,4.13E+00,1.04E-03,820-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,236,225.6087,0.47-0.53,730,5*,Oyamada 1971 [109],----,----,----,4.02E+00,1.01E-03,740-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,237,200.3761,0.55-0.45,678,5*,Oyamada 1971 [109],----,----,----,3.91E+00,1.01E-03,680-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,238,184.6057,0.60-0.40,695,5*,Oyamada 1971 [109],----,----,----,3.83E+00,9.90E-04,690-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,239,171.9894,0.64-0.36,701,5*,Oyamada 1971 [109],----,----,----,3.77E+00,9.80E-04,710-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,240,162.5272,0.67-0.33,701,5*,Oyamada 1971 [109],----,----,----,3.69E+00,9.80E-04,710-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,241,153.065,0.70-0.30,688,5*,Oyamada 1971 [109],----,----,----,3.64E+00,9.70E-04,720-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,242,143.6027,0.73-0.27,660,5*,Oyamada 1971 [109],----,----,----,3.59E+00,9.70E-04,670-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,243,134.1405,0.76-0.24,722,5*,Oyamada 1971 [109],----,----,----,3.47E+00,9.20E-04,790-1070,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,244,121.5242,0.80-0.20,855,5*,Oyamada 1971 [109],----,----,----,3.23,0.00086,880-1120,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,245,108.9079,0.84-0.16,922,5*,Oyamada 1971 [109],----,----,----,3.16,0.00085,940-1120,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-ThCl4,246,93.1376,0.89-0.11,992,5*,Oyamada 1971 [109],----,----,----,2.82,0.00075,1010-1170,1.5,Oyamada 1969 [108],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,247,315.7934,0.1-0.9,1090,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.2006,1876,0,1114-1252,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,248,287.1989,0.2-0.8,1062,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.3481,2015,0,1072-1252,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,249,258.6044,0.3-0.7,1025,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.3106,1944,0,1030-1254,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,250,230.0099,0.4-0.6,975,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.3073,1873,0,991-1258,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,251,201.4153,0.5-0.5,914,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.3057,1821,0,945-1251,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,252,173.9646,0.596-0.404,807,10,Yingling 2023 [158],----,----,----,4.54E+00,1.13E-03,863-1300,1,Parker 2022 [110],----,----,-1.2675,1704,0,888-1254,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,253,153.6625,0.667-0.333,829,10,Yingling 2023 [158],----,----,----,4.22,0.00103,796-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,254,144.2263,0.7-0.3,827,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.2179,1557,0,894-1249,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,255,139.6512,0.716-0.284,846,10,Yingling 2023 [158],----,----,----,3.85,0.000885,825-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,256,115.6318,0.8-0.2,944,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.163,1348,0,960-1238,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,257,99.9048,0.855-0.145,1004,10,Yingling 2023 [158],----,----,----,3.17E+00,7.85E-04,974-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,258,87.0373,0.9-0.1,1034,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.0927,1275,0,1052-1248,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,259,67.736,0.9675-0.0325,1063,10,Yingling 2023 [158],----,----,----,2.37E+00,5.82E-04,1048-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,260,65.477,0.9754-0.0246,1070,10,Yingling 2023 [158],----,----,----,2.34,0.000598,1056-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,261,61.674,0.9887-0.0113,1071,10,Yingling 2023 [158],----,----,----,2.23,0.000592,1066-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl3,262,60.0441,0.9944-0.0056,1072,10,Yingling 2023 [158],----,----,----,2.18,0.000556,1074-1300,1,Parker 2022 [110],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,263,72.5934,0.90-0.1,846,5*,SALTDBLEAN-TC [156],----,----,----,2.6228,0.000504,885-1125,5,Katyshev 2001 [166],----,----,-1.1696,1611,0,888-1250,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,264,93.733,0.83-0.17,813,5*,SALTDBLEAN-TC [156],----,----,----,3.1962,0.000644,885-1126,5,Katyshev 2001 [166],----,----,-1.0227,1253,0,870-1246,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,265,117.8925,0.75-0.25,766,5*,SALTDBLEAN-TC [156],----,----,----,3.5606,0.000648,847-1088,5,Katyshev 2001 [166],----,----,-1.0053,1254,0,821-1244,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,266,139.0321,0.68-0.32,822,5*,SALTDBLEAN-TC [156],----,----,----,4.0976,0.00088,869-1122,5,Katyshev 2001 [166],----,----,-1.0042,1292,0,873-1230,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,267,166.2115,0.59-0.41,897,5*,SALTDBLEAN-TC [156],----,----,----,4.4433,0.000936,898-1121,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,268,178.2913,0.55-0.45,925,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.7081,1110,0,934-1256,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,269,193.391,0.5-0.5,957,5*,SALTDBLEAN-TC [156],----,----,----,4.6328,0.000856,966-1124,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,270,208.4907,0.45-0.55,983,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.4374,883,0,978-1255,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,271,241.71,0.34-0.66,1028,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.5628,1032,0,1029-1252,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,272,247.7499,0.32-0.68,1034,5*,SALTDBLEAN-TC [156],----,----,----,5.189,0.000952,1027-1142,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,273,268.8894,0.25-0.75,1055,5*,SALTDBLEAN-TC [156],----,----,----,5.3611,0.000974,1118-1193,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,274,277.9492,0.22-0.78,1063,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.9208,1453,0,1073-1254,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,275,296.0689,0.16-0.84,1078,5*,SALTDBLEAN-TC [156],----,----,----,5.53E+00,9.92E-04,1132-1201,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl3,276,311.1686,0.11-0.89,1089,5*,SALTDBLEAN-TC [156],----,----,----,5.63E+00,1.01E-03,1170-1253,5,Katyshev 2001 [166],----,----,-1.0165,1579,0,1104-1241,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,277,368.8812,0.0341-0.9659,859,10,Yingling 2023 [158],----,----,----,4.93E+00,1.62E-03,870-930,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,278,357.2145,0.0704-0.9296,854,10,Yingling 2023 [158],----,----,----,4.86E+00,1.56E-03,860-920,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,279,347.7011,0.1-0.9,850,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.7954,1954,0,851-1002,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,280,341.691,0.1187-0.8813,846,10,Yingling 2023 [158],----,----,----,4.72E+00,1.44E-03,850-910,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,281,318.5181,0.1908-0.8092,831,10,Yingling 2023 [158],----,----,----,4.69E+00,1.48E-03,830-920,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,282,315.5613,0.2-0.8,830,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.6411,1849,0,823-1006,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,283,280.2075,0.31-0.69,800,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.3062,1520,0,782-1017,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,284,254.9777,0.3885-0.6115,760,10,Yingling 2023 [158],----,----,----,4.45,1.43E-03,790-920,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,285,251.2817,0.4-0.6,751,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.1585,1385,0,734-1011,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,286,223.1272,0.4876-0.5124,684,10,Yingling 2023 [158],----,----,----,4.13,1.22E-03,780-920,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,287,219.1418,0.5-0.5,666,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.1028,1361,0,713-1048,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,288,200.7579,0.5572-0.4428,667,10,Yingling 2023 [158],----,----,----,3.86,1.02E-03,830-910,1.5,Ziolek 1970 [155],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,289,193.43,0.58-0.42,679,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.116,1413,0,744-1050,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,290,161.933,0.6780-0.3220,711,10,Yingling 2023 [158],----,----,----,3.41,7.71E-04,880-910,1.5,Ziolek 1970 [155],----,----,-1.1429,1451,0,829-1094,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,291,93.7966,0.89-0.11,1021,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.3937,1613,0,1072-1208,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
NaCl-UCl4,292,125.9364,0.79-0.21,928,10,Yingling 2023 [158],----,----,----,----,----,----,----,----,----,----,-1.1001,1356,0,1000-1159,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,293,59.2663,0.95-0.05,867,5*,SALTDBLEAN-TC [156],----,----,----,2.3445,5.69E-04,885-989,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,294,76.1387,0.9-0.1,850,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.2092,1270,0,883-1143,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,295,82.8876,0.88-0.12,843,5*,SALTDBLEAN-TC [156],----,----,----,2.9844,8.92E-04,845-937,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,296,113.2579,0.79-0.21,846,5*,SALTDBLEAN-TC [156],----,----,----,3.3512,0.000944,812-908,5,Katyshev 2001 [166],----,----,-0.9109,1162,0,816-1080,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,297,123.3813,0.76-0.24,849,5*,SALTDBLEAN-TC [156],----,----,----,3.4894,0.000985,787-926,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,298,126.7557,0.75-0.25,850,5*,SALTDBLEAN-TC [156],----,----,----,3.5102,0.000989,780-975,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,299,153.7515,0.67-0.33,853,5*,SALTDBLEAN-TC [156],----,----,----,3.814,0.001115,748-871,5,Katyshev 2001 [166],----,----,-0.8306,1144,0,730-1020,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,300,157.5499,0.66-0.34,853,5*,SALTDBLEAN-TC [156],----,----,----,4.0148,0.001316,795-895,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,301,187.4962,0.57-0.43,850,5*,SALTDBLEAN-TC [156],----,----,----,4.0705,0.001206,773-920,5,Katyshev 2001 [166],----,----,-0.5816,978,0,757-1002,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,302,211.1175,0.5-0.5,844,5*,SALTDBLEAN-TC [156],----,----,----,4.2327,0.001312,783-956,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,303,217.8664,0.48-0.52,841,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-0.8741,1275,0,753-1009,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,304,227.9898,0.45-0.55,837,5*,SALTDBLEAN-TC [156],----,----,----,4.3478,0.001397,785-905,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,305,244.8621,0.4-0.6,830,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.138,1514,0,788-1003,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,306,254.9856,0.37-0.63,824,5*,SALTDBLEAN-TC [156],----,----,----,4.4816,0.001456,778-904,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,307,275.2324,0.31-0.69,819,5*,SALTDBLEAN-TC [156],----,----,----,4.6067,0.001537,806-926,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,308,281.9813,0.29-0.71,822,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.4978,1736,0,812-1008,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,309,295.4792,0.25-0.75,829,5*,SALTDBLEAN-TC [156],----,----,----,4.7798,0.001665,817-962,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,310,312.3515,0.8-0.2,836,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.692,1917,0,836-1001,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,311,319.1005,0.18-0.82,839,5*,SALTDBLEAN-TC [156],----,----,----,5.0017,0.001831,829-941,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
LiCl-UCl4,312,346.0962,0.1-0.9,850,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.7511,1990,0,853-1004,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,313,89.8157,0.95-0.05,1024,5*,SALTDBLEAN-TC [156],----,----,----,2.4133,0.000647,1041-1160,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,314,105.0803,0.9-0.1,996,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.1119,1350,0,1042-1173,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,315,123.397,0.84-0.16,950,5*,SALTDBLEAN-TC [156],----,----,----,2.9156,0.000798,987-1087,5,Katyshev 2001 [166],----,----,-1.2701,1580,0,968-1145,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,316,150.8737,0.75-0.25,841,5*,SALTDBLEAN-TC [156],----,----,----,3.1907,0.000861,843-994,5,Katyshev 2001 [166],----,----,-1.3567,1691,0,919-1095,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,317,175.2969,0.67-0.33,846,5*,SALTDBLEAN-TC [156],----,----,----,3.3889,0.000892,925-1054,5,Katyshev 2001 [166],----,----,-1.3732,1701,0,949-1096,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,318,196.6671,0.6-0.4,810,5*,SALTDBLEAN-TC [156],----,----,----,3.5373,0.000926,827-946,5,Katyshev 2001 [166],----,----,-1.262,1526,0,864-1048,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,319,218.0374,0.53-0.47,614,5*,SALTDBLEAN-TC [156],----,----,----,3.79E+00,1.08E-03,657-909,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,320,227.1961,0.5-0.5,622,5*,SALTDBLEAN-TC [156],----,----,----,3.85E+00,1.10E-03,688-917,5,Katyshev 2001 [166],----,----,-1.2302,1449,0,676-1009,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,321,248.5664,0.43-0.57,662,5*,SALTDBLEAN-TC [156],----,----,----,4.11E+00,1.28E-03,758-909,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,322,257.7251,0.4-0.6,699,5*,SALTDBLEAN-TC [156],----,----,----,4.17E+00,1.31E-03,744-933,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,323,269.9367,0.36-0.64,737,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-1.383,1529,0,774-1013,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,324,291.3069,0.29-0.71,783,5*,SALTDBLEAN-TC [156],----,----,----,4.51E+00,1.55E-03,808-919,5,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,325,306.5714,0.24-0.76,807,5*,SALTDBLEAN-TC [156],----,----,----,4.71E+00,1.67E-03,816-933,5,Katyshev 2001 [166],----,----,-1.6419,1789,0,823-1005,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
KCl-UCl4,326,346.2591,0.11-0.89,845,5*,SALTDBLEAN-TC [156],----,----,----,5.25E+00,2.08E-03,857-947,5,Katyshev 2001 [166],----,----,-1.9735,2130,0,852-1002,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,327,376.2956,0.1-0.9,856,5*,SALTDBLEAN-TC [156],----,----,----,5.54E+00,2.16E-03,852-935,5,Katyshev 2001 [166],----,----,-2.3328,2717,0,870-1002,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,328,374.523,0.15-0.85,851,5*,SALTDBLEAN-TC [156],----,----,----,----,----,----,----,----,----,----,-2.266,2709,0,903-1076,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
UCl3-UCl4,329,372.7503,0.2-0.8,845,5*,SALTDBLEAN-TC [156],----,----,----,5.46E+00,2.03E-03,858-956,5,Katyshev 2001 [166],----,----,-2.1551,2710,0,969-1068,15*,Katyshev 2001 [166],----,----,----,----,----,----,----,----,----,----,----
