System      , id , Mol Mass , Mol Frac             , Melt(K) , Var(%) , Reference   , Boil(K) , Var(%) , Reference      , rho_a     , rho_b     , range(K)      , Var(%) , Reference     , mu1_a     , mu1_b     , mu2_a      , mu2_b      , mu2_c     , range(K)      , Var(%) , Reference    , k_a        , k_b        , range(K)     , Var(%) , Reference   , cp_a      , cp_b       , cp_c       , cp_d      , Var(%) , Reference
KCl-AlCl3,39,85.3097,0.817-0.183,972,10,Robelin 2004 [119],----,----,----,----,----,----,----,----,2.85E-02,2.98E+04,----,----,----,----,15*,Borisoglebskii 1980 [22],----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,40,81.3121,0.885-0.115,1000,10,Robelin 2004 [119],----,----,----,----,----,----,----,----,4.07E-02,2.77E+04,----,----,----,----,15*,Borisoglebskii 1980 [22],----,----,----,----,----,----,----,----,----,----,----
KCl-AlCl3,41,77.7847,0.945-0.055,1024,5*,Robelin 2004 [119],----,----,----,----,----,----,----,----,5.29E-02,2.68E+04,----,----,----,----,15*,Borisoglebskii 1980 [22],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl,42,60.8961,0.1523-0.8477,1030,5*,Yin 2020 [153],----,----,----,2.14E+00,5.54E-04,1065-1185,1,Van Artsdalen 1955 [144],2.45E-02,3.59E+04,----,----,----,----,30,Murgulescu 1965 [100],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl,43,62.8017,0.2706-0.7294,992,5*,Yin 2020 [153],----,----,----,2.14E+00,5.59E-04,990-1185,1,Van Artsdalen 1955 [144],2.23E-02,3.64E+04,----,----,----,----,30,Murgulescu 1965 [100],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl,44,64.0566,0.3485-0.6515,966,5*,Yin 2020 [153],----,----,----,2.13E+00,5.58E-04,990-1185,1,Van Artsdalen 1955 [144],2.35E-02,3.55E+04,----,----,----,----,30,Murgulescu 1965 [100],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl,45,66.2989,0.4877-0.5123,937,5*,Yin 2020 [153],----,----,----,2.13E+00,5.68E-04,945-1170,1,Van Artsdalen 1955 [144],2.80E-02,3.35E+04,----,----,----,----,30,Murgulescu 1965 [100],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl,46,67.9468,0.5900-0.4100,945,5*,Yin 2020 [153],----,----,----,2.13E+00,5.75E-04,960-1170,1,Van Artsdalen 1955 [144],3.21E-02,3.20E+04,----,----,----,----,30,Murgulescu 1965 [100],----,----,----,----,----,----,----,----,----,----,----
KCl-NaCl,47,71.2088,0.7925-0.2075,994,5*,Yin 2020 [153],----,----,----,2.14E+00,5.81E-04,1005-1200,1,Van Artsdalen 1955 [144],3.39E-02,3.11E+04,----,----,----,----,30,Murgulescu 1965 [100],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,48,93.145,0.10-0.90,959,5*,Chartrand 2001 [35],----,----,----,2.08E+00,3.94E-04,1060-1110,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,49,90.5419,0.226-0.774,897,5*,Chartrand 2001 [35],----,----,----,2.22E+00,5.39E-04,1060-1130,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,50,88.4966,0.325-0.675,824,5*,Chartrand 2001 [35],----,----,----,2.26E+00,6.01E-04,1060-1160,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,51,88.2487,0.337-0.663,815,5*,Chartrand 2001 [35],----,----,----,2.16E+00,5.09E-04,1050-1120,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,52,87.2983,0.383-0.617,778,5*,Chartrand 2001 [35],----,----,----,2.19E+00,5.56E-04,1060-1140,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,53,85.7075,0.46-0.54,755,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.74E-01,1.68E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,54,85.6042,0.465-0.535,756,5*,Chartrand 2001 [35],----,----,----,2.19E+00,5.71E-04,1060-1130,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,55,84.9431,0.497-0.503,761,5*,Chartrand 2001 [35],----,----,----,2.10E+00,5.03E-04,1080-1170,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,56,84.8605,0.501-0.499,761,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.68E-01,1.70E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,57,83.6209,0.561-0.439,752,5*,Chartrand 2001 [35],----,----,----,----,----,----,----,----,7.76E-02,2.29E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,58,83.2697,0.578-0.422,746,10,Chartrand 2001 [35],----,----,----,2.14E+00,5.55E-04,1030-1140,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,59,81.6376,0.657-0.343,709,10,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.32E-01,1.85E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,60,81.3277,0.672-0.328,704,10,Chartrand 2001 [35],----,----,----,2.00E+00,4.57E-04,1030-1150,1,Lillebuen 1969 [90],----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,61,81.245,0.676-0.324,703,10,Chartrand 2001 [35],----,----,----,----,----,----,----,----,1.41E-01,1.88E+04,----,----,----,----,15,Bondarenko 1966 [21],----,----,----,----,----,----,----,----,----,----,----
KCl-MgCl2,62,81.1624,0.68-0.32,697.6,10,Chartrand 2001 [35],1691,----,Williams  2006 [149],2.06E+00,5.52E-04,723-1073,1.2,Xu 2018 [151],----,----,----,----,----,----,----,----,5.05E-01,-1.00E-04,723-1023,7,Xu 2018 [151],7.67E+01,8.49E-03,----,----,5,Xu 2018 [151]
